Column Header,Description,,
block,Block number of street,,
streetName,Street Name,,
streetType,"Type of Street (Ave, St)",,
streetDirection,"Direction of street (E, W, N, S)",,
overall,Overall rating of the road,,
crack,Amount of cracking on the road,,
patch,Amount of patching on the road,,
length,Length of the road (feet),,
width,Width of the road (feet),,
dateRated,Date when road was rated,,
dateLastOverlay,Year the road was last paved,,
flushOil,The type of treatment this road can receive - flushing or oil,,
class,"Class of the road, correlates with traffic counts",,
pavement,Pavement type,,
streetID,Street ID,,
,,,
,,,
